Position, reimbursement type, first-tier city reimbursement standard (yuan), second-tier city reimbursement standard (yuan), third-tier city reimbursement standard (yuan)
Ordinary employees, accommodation expenses, 500, 400, 300
Department head, accommodation fee, 600, 500, 400
Department director, accommodation fee, 700, 600, 500
Regional general manager, accommodation fee, 800, 700, 600
Ordinary employees, food expenses, 50, 40, 30
Department head, food expenses, 50, 40, 30
Department director, food expenses, 50, 40, 30
Regional general manager, food expenses, 50, 40, 30
Ordinary employees, transportation expenses, 50, 40, 30
Department head, transportation expenses, 50, 40, 30
Department director, transportation expenses, 50, 40, 30
Regional general manager, transportation expenses, 50, 40, 30
